authors
"Kartono, Agus; Sumaryada, R Tony Ibnu; Apriyani, Eka"
"Maulana, Fajar; Arfah, Harton; Lestari, Dini"
"Kusharto, Clara Meliyanti; Nisa, Ayu Rizkia"
"Soebrata, Betty Marita; Pari, Gustan; Nissa, Mayang Mulia"
"Istikorini, Yunik; Sembiring, Ester Br"
"Diatin, Iis; Effendi, Irzal; Siena, Ibnu"
"Yani, Mohamad; Ginting, Rohani Cinta Badia; Putra, Guruh Mayka"
"Damanhuri, Didin S.; Achsani, Noer Azam; Yustika, Ahmad Erani; Sastra, Eka"
"Sumarwan, Ujang; Suharjo, Budi; Hasanah, Nur; Rurianto, Joko"
"Suci, Dwi Margi; Sumiati; Yusuf, Gina Maulidarni"
"Suroso, Arif Imam; Arifin, Bustanul; Syarief, Rizal; Rusli, Meika Syahbana; Wahyudi, Indra"
"Maddu, Akhiruddin; Setyaningsih, Iriani; Ibnu, Pramudityo"
"Dasanto, Bambang Dwi; Faqih, Akhmad; Ni'mah, Zumrotun"
"Arsyianti, Laily Dwi; Dzulhira, Hairunisa"
"Arsyianti, Laily Dwi; Sari, Lisa Hamidah"
"Rimbawan, Rimbawan; Tresnanda, Muhammad Nawaf"
"Sobir; Amarillis, Shandra; Heriyanto, Haekal"
"Prangdimurti, Endang; Palupi, Nurheni sri; Wijaya, Hendra; Mahgfirah, Indria"
"Syaukat, Yusman; Falatehan, A. Faroby; Listiyawan, Drajad"
"Setiawan, Radite Praeko Agus; Kusuma, Aditya"
"Sudrajat, Agus Oman; Suprayudi, Muhammad Agus; Nurilmala, Mala; Farastuti, Eko Rini"
"Wiendi, Ni Made Armini; Santosa, Edi; Dachi, Aurel Natasha"
"Sukmawati, Anggraini; Putri, Diani Eka"
"Latifah, Melly; Siva, Nabilah Bisthami"
"Satria, Arif; Shohibuddin, Mohamad; Berliana, Shinta"
"Sumardjo; Hapsari, Dwi Retno; Wibowo, Cahyono Tri; Purwanto, Eko"
"Supijatno; Santosa, Edi; Aji, Martini"
"Sukmawati, Anggraini; Sjafri, Aida Vitayala; Heryanto, Weko"
"Kusumastanto, Tridoyo; Nababan, Benny Osta; Muluk, Usman Abdul"
"Sadono, Dwi; Wahyuni, Endang Sri; Nurfadillah, Intan"
"Ulupi, Niken; Maheshwari, Hera; Siregar, Nur Syarifah"
"Pratiwi, Niken Tunjung Murti; Wardiatno, Yusli; Effendi, Hefni; Hasani, Qadar"
"Suwarno, Willy Bayuardi; Aswidinnoor, Hajrial; Rahim, Syaifullah"
"Aisyah, Syarifah Iis; Nurcholis, Waras; Sukma, Dewi; Yudha, Yoshua Shandy"
"Mulatsih, Sri; Salsabella, Rana"
"Mardiastuti, Ani; Masy ud, Burhanuddin; Mulyani, Yeni A; Ihsan, Moh"
"Ambarsari, Laksmi; Falah, Syamsul; Jannati, Agnia Nurul"
"Trison, Soni; Sundawati, Leti; Bagasunanda, Edo"
"Supriyo, Prapto Tri; Silalahi, Bib Paruhum; Tanjung, Edon Primindo Firdaus"
"Siregar, Hermanto; Anggraeni, Lukytawati; Fitriana, Rizqi"
"Lumban Gaol, Jonson; Agus, Syamsul Bahri; Novianto, Pratama Anugerah"
"Mubarik, Nisa Rachmania; Riyanti, Eny Ida; Jamaluddin"
"Matra, Deden Derajat; Poerwanto, Roedhy; Nasirudin, Muchamad Fikrul Ilmi"
"Roedhy, Poerwanto; Deden, Matra; Nirmala, Aprilia"
"Rukmiasih; Sumiati; Saputro, Rios Hendri"
"Andrianto, Dimas; Safithri, Mega; Ramadhan, Randi Surya"
"Tiuria, Risa; Ningtias, Putri Indah; Maheshwari, Hera"
"Hakim, Dedi Budiman; Halizi, Najla"
"Nawangsih, Abdjad Asih; Yuliani, Titiek Siti; Agustin, Dwi"
"Farajallah, Achmad; Rianti, Puji; Saputra, Niko"
"Agus, Syamsul Bahri; Pasaribu, Riza Aitiando; Joni, Muhammad Fatahillah Putra"
"Amirroennas, Dwierra Evvyernie; Toharmat, Toto; Husna, Hafizhatul"
"Suhartanto, Mohamad Rahmad; Pati, Panji Wenang"
"Saharjo, Bambang Hero; Hafizh, Idham Nur"
"Dasanto, Bambang Dwi; Faqih, Akhmad; Amelina, Cindy"
"Mandang, Tineke; Pratama, Dikki Hendra"
"Sinaga, Bonar M; Hartoyo, Sri; Firdaus, Muhammad; Mansjur, Eka Denny"
"Harianto; Hakim, Dedi Budiman; Hartoyo, Sri; Mulyana, Mumuh"
"Santosa, Dwi Andreas; Prastowo, Erwin; Nirmalasari, Intan"
"Gunawan, Andi; Assakina, Farrah Nashiha"
"Martianto, Drajat; Dina, Resa Ana; Anas, Adli"
"Nurmansyah, Ali; Sartiami, Dewi; Ningsih, Meyliani Wila"
"Hakim, Dedi Budiman; Lestari, Ayu"
"Briawan, Dodik; Kustiyah, Lilik; Syifa, Nisa Hidayatus"
"Wulandari, Arum Sekar; Afifah, Rifda"
"Fahmi, Idqan; Jahroh, Siti; Chairunnisa, Siti Sarah"
"Nawangsih, Abdjad Asih; Hidayat, Sri Hendrastuti; Darda, Azqia Maulida"
"Suhardiyanto, Herry; Dewanusa, Aryasena Bagas"
"Hasbullah, Rokhani; Minggu, Agnes Berliana"
"Poerwanto, Roedhy; Matra, Deden Derajat; Purwaningtyas, Lintang Widya"
"Poerwanto, Roedhy; Matra, Deden Derajat; Safitri, Ade Irma"
"Simangunsong, Bintang C.H.; Simatupang, Maruli Samuel Bosar"
"Mutaqin, Kikin; Lubis, Qori Fitri Aldinah"
"Arfah, Harton; Soelistyowati, Dinar Tri; Sholihin, Hidayatush"
"Syarief, Rizal; Hasanah, Nur; Kramadisastra, Arnissa"
"Mandang, Tineke; Nelwan, Leopold Oscar; Hermawan, Wawan; Panggabean, Tamaria"
"Nurcholis, Waras; Prioesoeryanto, Bambang Pontjo; Juliana, Dara"
"Madduppa, Hawis; Cakasana, Nadya; Husna, Alief"
"Suhartanto, Mohamad Rahmad; Ramadhanti, Ayomi Ida"
"Arpah, Muhammad; Purnama, Alma Sabrina"
"Arhatin, Risti Endriani; Gaol, Jonson Lumban; Priyanto, Buana Prasetyo Jalu"
"Ardiansyah, Firman; Baihaqi, Muhammad Nabil"
"Juanda, Bambang; Andrianus, Habib Furqony"
"Sukria, Heri Ahmad; Hermana, Widya; Kharisma, Wulan"
"Trilaksani, Wini; Nurhayati, Tati; Anzani, Anisa Destha"
"Nuraida, Lilis; Muhandri, Tjahja; Dhabita, Annisa"
"Mulyati, Heti; Habibi, Muhammad Zhufri"
"Harianto; Hakim, Dedi Budiman; Hartoyo, Sri; Fadillah, Adil"
"Achsani, Noer Azam; Bakhtiar, Toni; Waluyo, Jati; Indawan, Fiskara"
"Sulvianti, Itasia Dina; Djuraidah, Anik; Mirrahma, Aliyah Aisyiyah"
"Atmadipoera, Agus; Zamani, Neviaty; Hazmi, Hade"
"Suharjo, Budi; Sumarno, Hadi; Sacharissa, Olga"
"Achsani, Noer Azam; Sasongko, Hendro; Nainggolan, Immanuel"
"Affandi, Ridwan; Wildan, Dudi Muhammad; Salsabilla, Isra Hanu"
"Yuhana, Munti; Widanarni; Utomo, Agil Setya"
"Setyaningsih, Iriani; Maddu, Akhiruddin; Hardiningtyas, Safrina Dyah; Itqiyyah, Salma Itqiyyah"
"Ginoga, Lin Nuriah; Masyud, Burhanuddin; Supartha, Shalahuddin Averroes"
"Sugiyono, Sugiyono; Firman, Muhammad Zaki Maarif"
"Krisnamurthi, Bayu; Burhanuddin; Munandar, Febrinda Annisa"
"Udin, Faqih; Kevin, Kevin"
"Widjaja, Hermanu; Suryaningtyas, Dyah Tjahyandari; Susisusanti, Meriaprilia"
"Daryanto, Arief; Harianto, Harianto; Arfiyunanto, Arfiyunanto"
"Suryati, Tuti; Apriantini, Astari; Maryati, Sri"
"Kusnanto, Ali; Sianturi, Paian; Rismawati"
"Nugraha, Roni; Safitri, Novemi Gita"
"Hermadi, Irman; Yuwono, Bob"
"Wahjunie, Enni Dwi; Tarigan, Suria Darma; Zuhdi, AH. Maftuh Hafidh"
"Rahayu, Winiati P.; Nurjanah, Siti; Sanjaya, Stephen"
"Sopandie, Didy; Kusuma Dewi, Azri; Cahyadi, Firdaus"
"Winoto, Joyo; Abdullah, Asaduddin; Nursyabani, Cahyania"
"Nurhadryani, Yani; Sulaiman"
"Widhyari, Sus Derthi; Mihardi, Arief Purwo; Adi, Adib Susilo"
"Hadi, Yusuf Sudo; Syukur, Abdus"
"Hadi, Yusuf Sudo; Achmad, Afrian Sayyidina"
"Rustiadi, Ernan; Rindayati, Wiwiek; Saputra, Andi Yoga"
"Hadi, Yusuf Sudo; Setiawan, Moh. Fani"
"Fatimah, Indung Sitti; Hadi, Akhmad Arifin; Tamimi, Nadhil"
"Sartiami, Dewi; Priyambodo, Swastiko; Hidayat, Bubun Afif"
"Udin, Faqih; Alamsyah, Nato"
"Khomsan, Ali; Chairunisa, Febrina"
"Ilmiawati, Auliya; Rafi, Mohamad; Alfarisi, Ilham"
"Sari, Yessie Widya; Budiman, Ismail; Paulina, Nadya Basa"
"Natih, Nyoman Metta N.; Atmadipoera, Agus Saleh; Putra, Dimas Rahmanda"
"Purwantara, Bambang; Karja, Ni Wayan Kurniani; Setiadi, Mohamad Agus; Kaiin, Ekayanti M; Satrio, Faisal Amri"
"Riyadi, Hadi; Zahra, Yasmeen Aulia"
"Arief, Irma Isnafia; Endrawati, Yuni Cahya; Ramadhan, Razzaaq Basri"
"Muhammad, Farid; Seftiani, Icah"
"Purnaba, I Gusti Putu; Erliana, Windiani; Fikriyah, Laila Qudrah"
"Agus, Syamsul Bahri; Pasaribu, Riza Aitiando; Alfani, Fauzan"
"Roosita, Katrin; Briawan, Dodik; Halimah, Salehah"
"Kurniati, Mersi; Syamani, Firda Aulya; Hernawan, Fathianissa Agnifa"
"Simanjuntak, Charles Parningotan Haratua; Yulianto, Gatot; Winda, Nyimas Rafiah"
"Aditia, Edit Lesa; Priyanto, Rudy; Sari, Intan"
"Harianto; Falatehan, A. Faroby; Lestari, Meylani"
"Sartono, Bagus; Anisa, Rahma; Nasution, Agus Hendra"
"Sutjahjo, Surjono Hadi; Wirnas, Desta; Annisa, Nurul"
"Alimuddin; Soelistyowati, Dinar Tri; Hanggara, Yudha"
"Suroso, Arif Imam; Shalihati, Fithriyyah; Simanungkalit, Diana Natalia Br."
"Yovi, Efi Yuliati; Sadewa, Novandi Aldi"
"Yovi, Efi Yuliati; Putra, Firyal Dhaifan"
"Matoati, Rindang; Darmawan, Tommy Agus"
"Yovi, Efi Yuliati; Lesmana, Desnu Ramadhan"
"Siregar, Ulfah J; Matra, Deden D; Nurianti, Esti"
"Pambudi, Rachmat; Wicaksono, Pius Hermawan"
"Siregar, Ulfah J; Matra, Deden D; Dwiyuni, Fahirah"
"Suryadarma, Prayoga; Pangestu, Rachel Triana"
"Wiliasih, Ranti; Faisal, Muhammad Ircham"
"Wiyono, Eko Sri; Zulkarnain; Sari, Mella"
"Hasim; Ambarsari, Laksmi; Andrianto, Dimas; Darmawan, Nurul Izza"
"Yuwono, Arief Sabdo; Tambunan, Armansyah Halomoan; Achsani, Noer Azam; Tampubolon, Frances Roi Seston"
"Palupi, Endah Retno; Permatasari, Okti Syah Isyani; Khairani, Retno"
"Arief, Irma Isnafia; Soenarno, Moch. Sriduresta; Setyarini, Rania Fitri"
"Harianto; Rifin, Amzul; Saraswati, Ria Indah"
"Hanif, Novriyandi; Setiawan, Andi; Ningrum, Septiwiana"
"Apriantini, Astari; Cyrilla E.N.S.D, Lucia; Elsadibah, Sofia"
"Sarwoprasodjo, Sarwititi; Sihabudin, Ahmad; Kinseng, Rilus A.; Widiyanarti, Tantry"
"Priawandiputra, Windra; Prawasti, Taruni Sri; Abdullah, Muhammad Zaki"
"Safithri, Mega; Husnawati; Rodiah, Lisa Iha"
"Fuah, Asnath Maria; Mendrofa, Verika Armansyah; Syahrin, Elit Alfi"
"Syaufina, Lailan; Hermawan, Dede; De Carvalho, Eduardo Fernando"
"Sugiyanta; Aswidinoor, Hajrial; Islami, Sukma Aprilia"
"Aditia, Edit Lesa; Priyanto, Rudy; Irsan, Muhammad Adwin"
"Novianti, Tanti; Ramadhanika, Firyal Aulia"
"Novianti, Tanti; Altasya, Fenia"
"Arsyianti, Laily Dwi; Rahmanimtiyaz"
"Wahjuningrum, Dinamella; Nuryati, Sri; Nugraha, Media Fitri Isma; Rusadi, Dian"
"Saefuddin, Asep; Anisa, Rahma; Safira, Nadya Tasha"
"Arsyianti, Laily Dwi; Bastari, Alya Rawandia"
"Nurmalina, Rita; Rifin, Amzul; Andarini, Niken Sukma"
"Hakim, Dedi Budiman; Nugraheni, Sri Retno Wahyu; Adinda, Rizkya Okta"
"Hakim, Dedi Budiman; Bassam, Ammar Abiyu"
"Indrasti, Dias; Ramadhina, Siti Hanifah Rifan"
"Lubis, Deni; Hasanah, Qoriatul; A.A. Khujazi"
"Nurmalina, Rita; Pasaribu, Sahat Marulitua; Wulandari, Tatu Nia"
"Nurmalina, Rita; Burhanuddin, Burhanuddin; Nasution, Asma"
"Andrianto, Mokhamad Syaefudin; Aryani, Agatha Sylvi"
"Nurhayati, Tati; Abdullah, Asadatun; Muttaqin, Roisul Adi Brilianto"
"Suharno, Suharno; Rifin, Amzul; Syahputra, Agung Rahmat"
"Falatehan, Sriwulan Ferindian; Al-Huda, Muhammad Miftahul Farid"
"Kusnanto, Ali; Jaharuddin; Juwarsih, Sri"
"Madduppa, Hawis H.; Sunuddin, Adriani; Benyamin, Azhari"
"Sumarwan, Ujang; Suroso, Arif Imam; Najib, Mukhamad; Utama, Adi Prasetya"
"Suroso, Arif Imam; Juanda, Bambang; Sukmawati, Anggraini; Akbar, Mohamad Lucky"
"Syafitri, Utami Dyah; Soleh, Agus Mohamad; Nugraha, Pratama Yuly"
"Rahman, Dede; Masy'ud, Burhanuddin; Kartono, Fuji"
"Ulupi, Niken; Mutia, Rita; Afdhal, Avicenna Muhammad"
"Hartoyo, Hartoyo; Zulbainarni, Nimmi; Rachman, Syaiful"
"Rustiadi, Ernan; Rindayati, Ernan; Saputra, Andi Yoga"
"Wahjuni, Sri; Soesanto, Iman Rahayu Hidayati; Khairunissa, Jasmine"
"Anisa, Rahma; Susetyo, Budi; Maharani, Raihana"
"Kustiyah, Lilik; Mardiah, Ainul"
"Rushayati, Siti Badriyah; Ginoga, Lin Nuriah; Hendriette, Jasmine Sarassati Putri"
"Taufik, Muh.; Alfiqri, Fauzan"
"Subhan, Beginer; Arafat, Dondy; Sibuea, Mikhael"
"Lestari, Yulin; Sukarno, Nampiah; Mardius, Michelia Cempaka"
"Wahyudi, Aris Tri; Husen, Edi; Tjahjoleksono, Aris; Amri, Muhammad Faiz"
"Kamal, Mohammad Mukhlis; Mashar, Ali; Agustini, Sang Ayu Putu Didi Kasturi"
"Solahudin, Mohamad; Syabani, Muhammad Yahya"
"Jayanegara, Anuraga; Martin, Rima Shidqiyya Hidayati; Ramadan, Rifki"
"Retnani, Yuli; Sudarman, Asep; Ilyasa, Muhamad"
"Triadiati, Triadiati; Dorly, Dorly; Wijayanti, Inggit"
"Anwar, Faisal; Dwiriani, Cesilia Meti; Fachruddin, Kadija Raisa"
"Hasim; Pratama, Rahadian; Kurniasih, Rini; Alfianida, Zahrah"
"Suharno, Suharno; Rifin, Amzul; von Cramon-Taubadel, Stephan; Permana, Bertha Lovita Dwi Intania"
"Irmansyah, Irmansyah; Alatas, Husin; Thalia, Ananda"
"Solahudin, Mohamad; Nurpradani, Haninda Pangesti"
"Putra, Heriansyah; Abdurrahman, Dzulfiqar"
"Rachmaniah, Meuthia; Prakasa, Mokhammad Inggit"
"Beik; Beik, Irfan Syauqi; Al Atsariyah, Siti Aisyah"
"Kartono, Agus; Pramudito, Sidikrubadi; Andre, Irsyad Muhammad"
"Burhanuddin, Burhanuddin; Suprehatin, Suprehatin; Aswar, Aswar"
"Ichwandi, Iin; Sundawati, Leti; Siahaan, Rayhan"
"Falah, Syamsul; Ambarsari, Laksmi; Werdiningsih, Pertiwi"
"Mangku, I Wayan; Sumarno, Hadi; Pebriansyah, Deni"
"Sumaryanto, Heru; Jacoeb, Agoes Mardiono; Firda, Kamila Syifa"
"Fahmi, Idqan; Hannan, Sufrin; Prianti, Diani Mustika"
"Maarif, M. Syamsul; Puspitawati, Herien; Rachmawati, Riani; Desiana, Putri Mega"
"Fuah, Asnath Maria; Mendrof, Verika Armansyah; Suwandi, Jovan Meinardo"
"Putra, Heriansyah; Yudhistira, Irgie"
"Artika, I Made; Nurcholis, Waras; Izzati, Nurul"
"Munibah, Khursatul; Tjahjono, Boedi; Putra, Alief Yuda Ariska"
"Hazra, Fahrizal; Saprudin, Deden; Setiawan, Kevin"
"Sukenda, Sukenda; Nuryati, Sri; Iqbal, Rizki Muhamad"
"Triadiati, Triadiati; Sulistyaningsih, Yohana Caecilia; Rizaldi, Muhammad Rifki"
"Adriani; Mujiyanto; Josephine, Esther Chyntia"
"Irmansyah, Irmansyah; Faozan, Faozan; Abdurrahman, Bela Hanief"
"Sugiyanta; Melati, Maya; Sunarti, Titi Candra; Adwiyani, Pustika"
"Hariyadi, Sigid; Pratiwi, Niken Tunjung Murti; Maharani, Indah Sulistya"
"Nelwan, Leopold Oscar; Anagami, Ni Made Aninidtha"
"Jakaria, Jakaria; Kurniati, Weni; Prasetianto, Ardi Slamet"
"Yuhana, Munti; Sukenda, Sukenda; Cahyandi, Anugerah Ilahi Nur"
"Hermana, Widya; Retnani, Yuli; Nurjanah, Raynesa Nurul"
"Nurjaya, I Wayan; Atmadipoera, Agus Saleh; Nugroho, Dwiyoga; Ramadhan, Hani"
"Suci, Dwi Margi; Hermana, Widya; Nadia, Rizky"
"Priandana, Karlisa; Hardhienata, Medria Kusuma Dewi; Amin, Deddy El"
"Pujiyati, Sri; Rahmat, Ayi; Darmawan, Ricky Gusnia"
"Sutrisno; Purwanti, Nanik; Sunarti, Titi Candra; Darmawati, Emmy; Fortuna, Dewi"
"Yuwono, Arief Sabdo; Styawan, Welly Ageng"
"Arief, Harnios; Dede Aulia Rahman; Syafitri Hidayati; Salwa Nadhira"
"Arief, Harnios; Yuri Dinosia Simangunsong"
"Nurilmala, Mala; Nurhayati, Tati; Arbajayanti, Rahma"
"Munibah, Khursatul; Baliwati, Yayuk Farida; Wardana, Wayan"
"Noor, Ronny R.; Jakaria; Faza, Ahmad Insan"
"Santosa, Yanto; Santoso, Nyoto; Rushayati, Siti Badriyah; Ramlah, Sitti"
"Simanjuntak, Megawati; Palowa, Nur Luthfiah"
"Rachmaniah, Meuthia; Corvin, Ari"
"Nurhalim, Asep; Irfany, Mohammad Iqbal; Muslich, Muhammad Ayyub"
"Noor, Ronny Rachman; Jakaria; Naufal, Shidqi Muhammad"
"Sulaeman, Ahmad; Baga, Lukman M.; Maulana, Agus; Zulmaneri, Zulmaneri"
"Erliana, Windiani; Septyanto, Fendy; Hade, Alfaritzi Maulana"
"Heryatno, Yayat; Mauludyani, Anna Vipta Resti; Afifah, Syarifah Nibras"
"Sartono, Bagus; Hakim, Dedi Budiman; Aulia, Hanik"
"Fariyanti, Anna; Dewi, Triana Gita; Mudiana, Fairuz"
"Kinseng, Rilus A.; Mahfudhoh, Khaeru"
"Hidayat, Nia Kurniawati; Fitrinuraisyah, Puti"
"Wulandari, Arum Sekar; Sandra, Edhi; Kirani, Annisa Dian"
"Jaya, I Nengah Surati; Prihanto, Budi; Abubakar, Zahra Fadhilah"
"Atmadipoera, Agus Saleh; Naulita, Yuli; Azzahrawaani, Annisaa"
"Hardhienata, Medria Kusuma Dewi; Priandana, Karlisa; Alatas, Ja'far Shadiq"
"Sukmawati, Anggraini; Khaira, Nurul"
"Sugiyono; Nurachman, Almalia"
"Latifah, Melly; Yuliati, Lilik Noor; Anasuyari, Ni Komang Yastri"
"Sarma, Ma'mun; Najib, Mukhamad; Rafiana, Nanda Nur"
"Ambarsari, Laksmi; Andrianto, Dimas; Damayanti, Tresna Yunia"
"Beik, Irfan Syauqi; Devinica, Renita"
"Ekasari, Julie; Suprayudi, Muhammad Agus; Ichsani, Alwi Gama"
"Supriyanto; Purwansya, Yuvicko Gerhaen"
"Simanjuntak, Megawati; Nafila, Nidya Luthfi"
"Budiarti, Retno, I Gusti Putu Purnaba; Khairiati, Alfi"
"Dadang; Sipayung, Kevin Johnson"
"Sunkar, Arzyana; Hartoyo, Adisti Permatasari Putri; Hutagalung, Labana"
"Herawati; Aviny, Eva Yolynda; Zimah, Ulfa Aula"
"Siregar, Iskandar Zulkarnaen; Pratama, Rahadian; Kristianti, Andrea Ajeng Eirenne"
"Wulandari; Wahjuni, Sri; Monitha, Annisa"
"Simanjuntak, Megawati; Dewi, Santi Utami; Rahmi, Fauzia"
"Santoso, Nyoto; Murti, Danur Kresna"
"Kusnadi, Nunung; Putri, Tursina Andita; Qatrunada, Shabrina Shafa"
"Sumaryada, Tony; Yani, Sitti; Rahma, Widya"
"Wulandari, Nur; Rachmawati, Annisa Noor"
"Suprayudi, Muhammad Agus; Ekasari, Julie; Inarto, Hendri"
"Agustina, Sri; Sucahyo, Lilis; Arief, Muhammad"
"Sapei, Asep; Eriyatno; Faqih, Akhmad; Karlinasari, Lina; Sulandari, Uci"
"Beik, Irfan Syauqi; Abdillah, Tsania Royani"
"Mangku, I Wayan; Ardana, Ngakan Komang Kutha; Hermawan, Andri"
"Beik, Irfan Syauqi; Rahmiyati, Noni"
"Ekasari, Julie; Fauzi, Ichsan Achmad; Suryaputra, Gabrian"
"Tiryana, Tatang; Teddy Rusolono; Muhdin"
"Suryobroto, Bambang; Widayati, Kanthi Arum; Setiawan, Bayu Chandra"
"Wasis, Basuki; Setianingsih, Nanik"
"Atmadipoera, Agus Saleh; Nurjaya, I Wayan; Primadiani, Gabriella Andhita Devi"
"Nuzulia, Nur Aisyah; Sari, Yessie Widya; Bilqis, Alfinda"
"Saharuddin; Septiadi, Tamam Ahda"
"Hardhienata, Hendradi; Maddu, Akhiruddin; Isnaeni, Isnaeni; Nofitasari, Dea"
"Beik, Irfan Syauqi; Asmara, Tiara Mustika"
"Setyaningsih, Iriani; Safithri, Mega; Tarman, Kustiariyah; Kurniawati, Febianti Dwi"
"Kuncahyo, Budi; Rosaprana, Wanella"
"Herawati, Dian; Sukmawati, Yuli; Faizal"
"Hunaefi, Dase; Wahyudi, Kelvin"
"Harianto; Nurmalina, Rita; Hakim, Dedi Budiman; Muhlis"
"Saleh, Amiruddin; Hubeis, Musa; Priatna, Wahyu Budi; Santoso, Hudi"
"Harianto; Sinaga, Bonar M.; Sartono, Bagus; Hadianto, Adi"
"Wijayanto, Nurheni; Wasis, Basuki; Purnama, Teguh Jati"
"Djamaludin, Moh. Djemdjem; Shabila, Frista"
"Suryani; Hasan, Akhmad Endang Zainal; Setiyono, Agus; Salim, Afifah"
"Findi, Muhammad; Surbakti, Aulia Handayani Br"
"Solahudin, Muhamad; Salomo, Krisetya Febriandi"
"Wahyuni, Ekawati Sri; Nuswantari, Asti Kharisma"
"Widhiani, Anita Primaswari; Abdullah, Asaduddin; Firdausi, Hana Fadhila"
"Falah, Syamsul; Andrianto, Dimas; Firdausy, Iman Akhyar"
"Wulandari, Arum Sekar; Sandra, Edhi; Jannah, Safira Raudhotul"
"Djamaludin, Moh. Djemdjem; Fahira, Annisa"
"Anggraeni, Lukytawati; Irawan, Tony; Arsy, Annisa Tiara"
"Kurniatin, Popi Asri; Ambarsari, Laksmi; Qonita, Armida Bahy"
"Darusman, Huda Shalahudin; Novelina, Savitri; Margareta, Novia D."
Suprehatin; Mustofa
"Sumaryada, R Tony Ibnu; Yani, Sitti; Maulana, Iswan Fadil"
"Purwono, Joko; Hidayatulloh, Furqon Syarief; Maksum, Mega Alawiyah"
"Sehabudin, Ujang; Hardjanto, Arini; Putri, Amelia Suwargana"
"Santoso, Sugeng; Santoso, Teguh; Aseh, Lusi Novi"
"Herliyana, Elis Nina; Hartoyo, Adisti Permatasari Putri; Kultsum, Fifit"
"Astuti, Dewi Apri; Diapari, Didid; Prasetya, Riri Eka"
"Sukmawati, Anggraini; Puspita Hakim, Zahra Azhar Shafira"
"Pramuhadi, Gatot; Ayu, Zavira Mega"
"Iswari, Kasma; Sutrisno, Sutrisno; Wanda, Ramadona Fisna"
"Yulianda, Fredinan; Yulianto, Gatot; Irdiansyah, Ramadhani"
"Purnomo, Eko Hari; Faridah, Didah Nur; Nurlinawati, Intan"
"Prangdimurti, Endang; Salsabella, Hasna Farah"
"Suwarsinah, Heny Kuswanti; Asikin, Zenal; Salsabila, Adelia"
"Karti, Panca Dewi Manu Hara; Prihantoro, Iwan; Jannah, Kennaya Putri Aura"
"Soekmadi, Rinekso; Hidayati, Syafitri; Nurwana, Muhammad Raiyan"
"Kusumaningrum, Harsi Dewantari; Nurtama, Budi; Setiani, Nur Aulia"
"Retnani, Yuli; Despal, Despal; Sanidita, Soraya Rizki"
"Purwanto, Budi; Ramadhan, Muhamad Rizky"
"Nurhayati, Popong; Rahmana, Adhitya; Nugroho, Annisa Shabrina"
"Retnani, Yuli; Sujarnoko, Tekad Urip Pambudi; Prasetyoningrum, Widya Dwi"
"Prihantoro, Iwan; Setiana, Muhammad Agus; Meilania, Raisa"
"Herlina, Lien; Shalihati, Fithriyyah; Anugrah Pratama, Muhammad Rizky"
"Suroso, Arif Imam; Ratono, Joko; Pratyaharani, Hilda Puspita"
"Sukarno, Sukarno; Fadlillah, Hendry Noer; Hendratno, Muhammad Farhan"
"Koesmaryono, Yonny; Sugiarto, Yon; Kristi, Dayu Angela"
"Nurani, Tri Wiji; Wahyuningrum, Prihatin Ika; Fathurrahman, Akhmad Fauzi"
"Yuliani, Titiek Siti; Soekarno, Bonny Poernomo Wahyu; Agnariosa, Chelvi"
"Gunawan, Andi; Nurfadhilah, Nurfadhilah"
"Nugraha, Roni; Pulungan, Alivia Andira Putri"
"Karlinasari, Lina; Hermawan, Rachmad; Putri, Nesya Ayu"
"Muhandri, Tjahja; Hunaefi, Dase; Rahayu, Sri"
"Arief, Harnios"
"Hermanianto, Joko; Nurtama, Budi; Nuwruwuddinaa, Faathimah Hasnaauljannah"
"Kamal, Mohammad Mukhlis; Hakim, Agus Alim; Maraya, Nafis Silmi"
"Nandika, Dodi; Arinana, Arinana; Yandini, Elvira Putri"
"Arif, Ridi; Isdoni; Fachriza, Nissa"
"Sutejo, Agus; Khair, Abdul"
"Nandika, Dodi; Arinana, Arinana; Rahayu, Agustina Muji"
"Khomsan, Ali; Hawaij, Taesar"
"Hariyadi, Sigid; Krisanti, Majariana; Azizi, Dzakiy M. Al"
"Syartinilia; Puteri, Puspa Rani Indra"
"Pisestyani, Herwin; Basri, Chaerul; Alfara, Azed"
"Purwanto, Ukhradiya Magharaniq Safira; Andrianto, Dimas; Vachyra, Dara Anggun"
"Kolopaking, Lala M.; Lubis, Djuara P.; Zuhud, Ervizal A.M.; Ranteallo, Ikma Citra"
"Santosa, Yanto; Rahman, Dede Aulia; Rahmadiyanti, Putri"
"Santoso, Sugeng; Damayanti, Tri Asmira; Luqmana, Athifa Balqis"
"Wulansari, Retno; Siswandi, Riki; Cahyo, Errizqi Dwi"
"Hidayat, Aceng; Nurasyiah, Ai"
"Nugroho, Lilik Pujantoro Eko; Saputri, Diah Ega"
"Kartodihardjo, Hariadi; Sunjaya, Etrin Herabadi"
"Sarma, Ma'mun; Alawy, Shihab Yasin"
"Desniar, Desniar; Pari, Rizfi Fariz; Sa'diyah, Shavira Iftitahus"
"Santosa, Gunawan; Pujianti, Ajeng"
"Astawan, Made; Budi, Alfan Setya"
"Fauzan, Muhammad; Dhiaulhaq, Rifqi Fauzi"
"Kusumaningrum, Harsi Dewantari; Amri, Muhammad Aushol"
